hour,offer_MW
0,0.0
1,500.0
2,369.8665591229095
3,377.100637411201
4,383.088505299735
5,0.0
6,286.9958356270745
7,0.0
8,378.4956893612635
9,380.4047495180185
10,384.544799084985
11,382.707235863942
12,353.57177723163153
13,378.358955968673
14,371.58657301724503
15,359.3130154260255
16,367.70580273735897
17,347.9316625169085
18,353.71845529790255
19,382.78945616107853
20,381.87546808463503
21,400.6379210427575
22,395.13768186464546
23,350.077862857753
