scheme,beta,hour,offer_MW
two-price,0.1,12,353.57177723163153
two-price,0.1,13,378.358955968673
two-price,0.1,14,371.58657301724503
two-price,0.1,15,359.3130154260255
two-price,0.1,16,367.70580273735897
two-price,0.1,17,347.9316625169085
two-price,0.1,18,353.71845529790255
two-price,0.1,19,382.78945616107853
two-price,0.1,20,381.87546808463503
two-price,0.1,21,400.6379210427575
two-price,0.1,22,395.13768186464546
two-price,0.1,23,350.077862857753
one-price,0.2,0,0.0
one-price,0.2,1,500.0
one-price,0.2,2,500.0
one-price,0.2,3,500.0
one-price,0.2,4,500.0
one-price,0.2,5,0.0
one-price,0.2,6,0.0
one-price,0.2,7,0.0
one-price,0.2,8,500.0
one-price,0.2,9,500.0
one-price,0.2,10,500.0
one-price,0.2,11,500.0
one-price,0.2,12,0.0
one-price,0.2,13,500.0
one-price,0.2,14,0.0
one-price,0.2,15,0.0
one-price,0.2,16,0.0
one-price,0.2,17,0.0
one-price,0.2,18,0.0
one-price,0.2,19,0.0
one-price,0.2,20,0.0
one-price,0.2,21,500.0
one-price,0.2,22,500.0
one-price,0.2,23,0.0
two-price,0.2,0,0.0
two-price,0.2,1,500.0
two-price,0.2,2,369.8665591229095
two-price,0.2,3,377.100637411201
two-price,0.2,4,383.088505299735
two-price,0.2,5,0.0
two-price,0.2,6,286.9958356270745
two-price,0.2,7,307.16429165731154
two-price,0.2,8,378.4956893612635
two-price,0.2,9,380.4047495180185
two-price,0.2,10,384.544799084985
two-price,0.2,11,382.707235863942
two-price,0.2,12,353.57177723163153
two-price,0.2,13,378.358955968673
two-price,0.2,14,371.58657301724503
two-price,0.2,15,359.3130154260255
two-price,0.2,16,367.455691014966
two-price,0.2,17,347.9316625169085
two-price,0.2,18,353.71845529790255
two-price,0.2,19,382.78945616107853
two-price,0.2,20,381.87546808463503
two-price,0.2,21,400.6379210427575
two-price,0.2,22,395.13768186464546
two-price,0.2,23,350.077862857753
one-price,0.4,0,0.0
one-price,0.4,1,500.0
one-price,0.4,2,500.0
one-price,0.4,3,500.0
one-price,0.4,4,500.0
one-price,0.4,5,0.0
one-price,0.4,6,0.0
one-price,0.4,7,0.0
one-price,0.4,8,500.0
one-price,0.4,9,500.0
one-price,0.4,10,500.0
one-price,0.4,11,500.0
one-price,0.4,12,0.0
one-price,0.4,13,500.0
one-price,0.4,14,0.0
one-price,0.4,15,0.0
one-price,0.4,16,0.0
one-price,0.4,17,0.0
one-price,0.4,18,0.0
one-price,0.4,19,0.0
one-price,0.4,20,0.0
one-price,0.4,21,500.0
one-price,0.4,22,500.0
one-price,0.4,23,0.0
two-price,0.4,0,138.6494270417915
two-price,0.4,1,500.0
two-price,0.4,2,369.8665591229095
two-price,0.4,3,377.100637411201
two-price,0.4,4,383.088505299735
two-price,0.4,5,0.0
two-price,0.4,6,286.9958356270745
two-price,0.4,7,307.16429165731154
two-price,0.4,8,378.4956893612635
two-price,0.4,9,380.4047495180185
two-price,0.4,10,384.544799084985
two-price,0.4,11,382.707235863942
two-price,0.4,12,353.57177723163153
two-price,0.4,13,378.358955968673
two-price,0.4,14,367.020072739996
two-price,0.4,15,353.08077126222946
two-price,0.4,16,367.455691014966
two-price,0.4,17,339.1913138579885
two-price,0.4,18,314.9629713019695
two-price,0.4,19,378.435263262804
two-price,0.4,20,380.85885590512
two-price,0.4,21,391.442716364354
two-price,0.4,22,394.02798962922395
two-price,0.4,23,343.7722036690615
one-price,0.6,0,0.0
one-price,0.6,1,500.0
one-price,0.6,2,500.0
one-price,0.6,3,500.0
one-price,0.6,4,500.0
one-price,0.6,5,0.0
one-price,0.6,6,0.0
one-price,0.6,7,0.0
one-price,0.6,8,500.0
one-price,0.6,9,500.0
one-price,0.6,10,500.0
one-price,0.6,11,500.0
one-price,0.6,12,0.0
one-price,0.6,13,500.0
one-price,0.6,14,0.0
one-price,0.6,15,0.0
one-price,0.6,16,0.0
one-price,0.6,17,0.0
one-price,0.6,18,0.0
one-price,0.6,19,0.0
one-price,0.6,20,0.0
one-price,0.6,21,500.0
one-price,0.6,22,500.0
