method,reserve_bid_kw,objective_value,max_allowed_violations,actual_violations,variables,constraints,solve_time_s,total_samples,satisfied_samples,violated_samples,satisfaction_rate,violation_rate,p90_requirement_met,expected_shortfall_kw,max_shortfall_kw,p90_shortfall_kw,p95_shortfall_kw,p99_shortfall_kw,beta_var
ALSO-X,32.86816343091371,32.86816343091371,600.0,600.0,6001,6001,1.1080496039940044,6000,5400,600,0.9,0.1,True,2.1270425057289337,32.86816343091371,0.0013205523614706473,24.382182107878638,32.86816343091371,
CVaR,11.597738373610213,11.597738373610213,,,6002,12001,0.3462154409789946,6000,5667,333,0.9445,0.0555,True,0.5211176862508047,11.597738373610213,0.0,3.11175705057514,11.597738373610213,-21.2704250573035
