method,reserve_bid_kw,objective_value,total_samples,satisfied_samples,violated_samples,satisfaction_rate,violation_rate,p90_requirement_met,expected_shortfall_kw,max_shortfall_kw,p90_shortfall_kw,p95_shortfall_kw,p99_shortfall_kw,beta_var
ALSO-X,32.86816343091371,32.86816343091371,6000,5400,600,0.9,0.1,True,2.1270425057289337,32.86816343091371,0.0013205523614706473,24.382182107878638,32.86816343091371,
CVaR,11.59773837362406,11.59773837362406,6000,5667,333,0.9445,0.0555,True,0.5211176862515731,11.59773837362406,0.0,3.1117570505889867,11.59773837362406,-21.25721953367499
