scheme,expected_profit_eur,min_profit_eur,max_profit_eur,std_profit_eur
one-price,1003703.9288620896,335824.0845377218,1585264.790801484,297565.35043586494
two-price,916868.4932084999,297540.8518971842,1431272.8042009138,273233.2125864181
