scenario,profit_eur
0,452159.55312437535
1,453849.532821061
2,452617.16523235454
3,453207.51516480505
4,868991.3051173651
5,872623.2124327915
6,869922.5273521977
7,870389.015195768
8,888908.1482460476
9,892580.8070852772
10,889606.0890659441
11,890464.7542355567
12,1234354.2185494478
13,1239248.1901168155
14,1235052.168521739
15,1236281.89579329
16,996048.7382479903
17,1000489.8137867638
18,997342.2724715648
19,998522.5301317513
20,1045158.547179236
21,1049642.1643835183
22,1046182.5868481635
23,1047282.7366882109
24,994255.5550934618
25,999271.8801743474
26,995837.8100333153
27,997432.1454227732
28,884429.6605371911
29,889161.7507961368
30,885854.0712152418
31,887542.1534884438
32,1147698.6067850345
33,1152304.1758338455
34,1148535.69373224
35,1149656.6649664305
36,1166026.8696738123
37,1171899.1585084419
38,1167869.1286616428
39,1168936.9412571136
40,659770.1118494734
41,662094.8194696306
42,660296.8279195703
43,660966.5938219321
44,402036.8375009731
45,404900.41622806905
46,403131.9679811286
47,403850.15605051664
48,447821.3503326486
49,447121.0806050191
50,446608.5763272868
51,446852.67146967433
52,1015635.5002271824
53,1020437.4082848822
54,1017080.6535515912
55,1018153.4165471881
56,796683.2780723871
57,801937.0080664258
58,798783.4497924519
59,799973.0297791878
60,633846.4411727844
61,634022.2392551005
62,632302.0860645601
63,632650.9441449491
64,1013124.5504114928
65,1018082.0145675265
66,1014596.384022708
67,1015531.4281675445
68,758488.6978026802
69,761067.6743432555
70,758620.4061154302
71,760071.3331545311
72,969850.4527174465
73,973709.4081631989
74,970493.4906843815
75,971896.9895871708
76,1202376.0808223668
77,1207886.7249313835
78,1203787.085516259
79,1205344.067796279
80,494430.7675962666
81,494383.5684003726
82,493217.8220859623
83,493267.02406441816
84,939256.4083650853
85,939789.0513633782
86,938080.6266635946
87,937615.1715387328
88,970418.0166910801
89,970562.286589366
90,968430.0158140912
91,968291.9461734656
92,1349295.801295707
93,1349522.515881631
94,1346532.488480376
95,1346291.358813738
96,1090966.4713240135
97,1091066.4204566954
98,1088819.1245739926
99,1088881.1313301425
100,1140617.2248567753
101,1140787.356674306
102,1138302.1058626922
103,1138192.682766828
104,1095169.6413314342
105,1095156.7046715766
106,1092648.5795104767
107,1092965.5412082744
108,981860.8703368637
109,981633.1087819686
110,979161.6307483949
111,979651.2065456666
112,1249427.5014747663
113,1249634.585327709
114,1246891.7397854177
115,1246767.3100325752
116,1276556.4432904348
117,1277009.713027705
118,1274381.8258248293
119,1274141.24582814
120,719285.3441182628
121,719297.6653623891
122,717651.7490724059
123,717709.946037062
124,456290.02513640816
125,456181.108751995
126,455088.18754571705
127,455289.31471331336
128,468754.5502997456
129,468687.0899543515
130,467464.3759498294
131,467233.16901983164
132,1106987.020669141
133,1107306.6592930506
134,1104952.2132476936
135,1104979.0763969768
136,889223.153998064
137,889357.1528188979
138,887312.239431322
139,887483.3414264312
140,672612.7056846175
141,672703.8521839253
142,671032.9361886085
143,670811.0712899693
144,1107051.8297188755
145,1107458.1258678182
146,1105159.4054344767
147,1105019.048343118
148,832322.8635766847
149,832052.0366712941
150,829854.4990685392
151,830334.0270566802
152,1063667.9946959293
153,1063401.1897658447
154,1060782.1768886049
155,1061152.8403232805
156,1318136.7552937884
157,1318208.3905686617
158,1315209.4934816074
159,1315510.8526738603
160,458326.58034237
161,460605.414510511
162,461182.24957886804
163,459900.46348205407
164,890979.0757326534
165,894158.5977786708
166,894325.9769307342
167,892196.2367781146
168,913826.6974314069
169,917026.7389559089
170,917524.7591512414
171,915340.5928166901
172,1272967.8530636318
173,1277428.464670467
174,1278248.9145653008
175,1275295.5303886966
176,1025082.2677430179
177,1029101.7375895475
178,1029748.0618421357
179,1027267.889456958
180,1073580.7225906753
181,1077583.2692637942
182,1078172.563875131
183,1075477.8897604705
184,1026924.5321865864
185,1030993.35381493
186,1031760.8036144859
187,1029131.3343715536
188,919457.3165508115
189,923025.7970744602
190,923917.6465046342
191,921657.4138457697
192,1175520.8805726715
193,1179818.5485942953
194,1180518.822393021
195,1177643.6855470173
196,1209431.825183289
197,1212874.4087128763
198,1213215.6052471753
199,1210813.8219081329
200,665512.0931557462
201,668627.8451844528
202,669268.9188545503
203,667416.4078251824
204,437507.78740566765
205,438057.57349364524
206,438361.86678069545
207,437804.6125833791
208,418314.9259247574
209,422130.5726225894
210,423239.2733496876
211,421321.5047998687
212,1040332.2585619927
213,1044293.7113334769
214,1044677.7798071508
215,1042023.1953562115
216,844938.3591484182
217,847007.8175018298
218,847487.5886127101
219,845963.4762660962
220,620036.3951440116
221,623556.5021459999
222,624309.6255542656
223,622367.1376682811
224,1048190.4323700762
225,1051511.6465759566
226,1051855.751701198
227,1049514.1614367168
228,772146.1205110252
229,775816.6955494655
230,776968.982606463
231,774874.5494020274
232,992432.8197378651
233,996502.3207939059
234,997458.688600669
235,994854.0316892938
236,1237934.7698185446
237,1242434.8531699008
238,1243178.1188498796
239,1240140.7657344183
240,488311.1140378462
241,488658.11111138057
242,490166.1778509928
243,488854.85190953803
244,950497.1161567395
245,951135.0010132833
246,954227.7621063875
247,951785.0214733032
248,973568.4250838979
249,974167.9396355395
250,976971.3027549054
251,974654.4344615655
252,1354604.884098855
253,1355686.5458670096
254,1359135.2519285926
255,1356038.1571325127
256,1093276.9633420212
257,1093832.6602302655
258,1097011.2689296408
259,1094424.1216348044
260,1144078.4951127623
261,1144809.7033508457
262,1148083.2689686564
263,1145298.5099490883
264,1093073.4384942148
265,1093370.8256577875
266,1096562.5529001064
267,1093987.5087751336
268,976610.2758817764
269,976916.1163526492
270,979477.0420023069
271,977334.7408160692
272,1252317.1749503561
273,1252921.6514348877
274,1256637.0593317924
275,1253616.7353242573
276,1287123.7386949952
277,1287451.1495246722
278,1291397.9863801464
279,1288476.3699172272
280,711493.3709008493
281,711899.7305897324
282,714270.3366011779
283,712430.1532980063
284,459957.0549535714
285,459956.1954223009
286,460639.67684513575
287,460068.0454993374
288,450078.36891565175
289,450906.186636817
290,452714.09498273424
291,450822.4437763666
292,1110478.5487603252
293,1110725.102250132
294,1114544.0271176866
295,1111855.7349182414
296,893712.2916579411
297,893782.5693424827
298,895941.8261972383
299,894254.0020091884
300,664846.7059511625
301,665615.405215826
302,668065.1875349866
303,666139.540136525
304,1116159.1468573518
305,1116545.3720462676
306,1119912.4409977363
307,1117402.9457600303
308,821204.3265430215
309,821700.1948993404
310,823782.4669681303
311,821832.7836389639
312,1056893.051147103
313,1057388.0343811782
314,1060275.3971354754
315,1057865.8383158806
316,1319290.5476118738
317,1319745.3508807959
318,1323613.836335241
319,1320713.9467078745
320,464068.3400947726
321,464995.10653019004
322,465228.60818756087
323,464873.39814131433
324,900649.8089091909
325,902612.8591423352
326,902691.3336327012
327,902377.891606529
328,924819.0596686538
329,926420.8731776013
330,926647.661476514
331,926161.082462911
332,1288212.689317089
333,1290477.3878786666
334,1290811.8788883905
335,1289991.1985612323
336,1036920.6985290451
337,1038935.906559772
338,1039111.72380779
339,1038784.4618047221
340,1086775.881227979
341,1088765.049342975
342,1088968.0129123277
343,1088506.1272009967
344,1037568.7967316778
345,1039647.967913053
346,1039801.3668410662
347,1039543.3659435476
348,927811.1679301137
349,929478.8499372525
350,929636.2354678183
351,929412.9944267784
352,1189965.8929768435
353,1192215.6172959546
354,1192506.0553384025
355,1191928.9148888364
356,1219553.5568851025
357,1221870.8761306577
358,1221943.353861166
359,1221683.9037140622
360,676345.9556893893
361,677688.0920708632
362,678117.8648595671
363,677580.3061337128
364,436214.20573841553
365,436810.25610290724
366,436747.02541519055
367,436637.73933127086
368,431631.813995845
369,432721.8378425394
370,433498.8125440801
371,432480.85764711007
372,1053104.9173085953
373,1055368.022763719
374,1055520.4777652558
375,1055342.1368332934
376,847488.2218250411
377,849005.8830332854
378,848883.6789221109
379,848951.205731355
380,635339.2647645613
381,636584.9658795774
382,637290.8840620695
383,636377.779782037
384,1058669.3532938238
385,1060735.006330949
386,1060802.904903899
387,1060613.0829209709
388,782897.1886289178
389,784287.224208958
390,784720.6205615487
391,784073.6110988905
392,1005742.3458488495
393,1007513.562885004
394,1007861.3635090337
395,1007250.0271553922
396,1253282.8476919266
397,1255561.0774548047
398,1255811.085247381
399,1255437.3827091975
400,497320.4468391308
401,497470.4429421571
402,497374.4444258898
403,496402.3631723027
404,960791.4859238901
405,960822.7763780328
406,961452.642322628
407,959366.5180959783
408,985069.5697226004
409,985437.9844651986
410,985567.5022545777
411,983738.0350462873
412,1370175.0266176022
413,1370716.6992799523
414,1370775.145230155
415,1368323.8383464497
416,1104850.0410555345
417,1105137.0278514891
418,1105458.3887760907
419,1103412.6017485082
420,1157939.1571216348
421,1158361.2737635437
