scheme,beta,mean_full_sample_expected_profit_eur,std_full_sample_expected_profit_eur,mean_full_sample_cvar_profit_eur,std_full_sample_cvar_profit_eur,mean_full_sample_std_profit_eur,mean_offer_mw,std_mean_offer_mw,mean_solve_time_s
one-price,0.0,1003703.9288620896,0.0,467719.9035425892,0.0,297565.35043586494,229.16666666666666,0.0,0.00042207899678032846
one-price,0.5,1003703.9288620896,0.0,467719.9035425892,0.0,297565.35043586494,229.16666666666666,0.0,0.0010745185980340465
one-price,0.8,1002329.5395586252,1493.5786223785465,466952.4325484707,1047.7675769131793,297266.39077919995,233.531556853322,17.07708807919364,0.0010482490004505962
one-price,1.0,998460.2335172298,1164.0016840448461,464668.68447179033,1417.827345358651,296565.0863715628,227.61906400231882,40.144196574677004,0.0010734328039688989
two-price,0.0,916822.3952795088,17.989730428776028,425717.0929490246,76.50994702468604,273203.32611292525,316.97100953869506,1.6171083858359003,0.053186900602304375
two-price,0.5,916713.8744574344,89.15183697829771,425881.99870230537,47.158456117748905,272948.0438493714,320.40738338342504,6.708079812879078,0.08427781779610086
two-price,0.8,916490.620002176,73.73486929097261,425927.7331044188,43.39793737501325,272675.22641189315,316.55984631925475,11.833996329487453,0.0697849549993407
two-price,1.0,915584.9181916304,530.0748953541407,425731.79123627645,211.12001823587863,272119.5036636754,297.34887171178264,5.702245641959545,0.030338448600377887
