method,reserve_bid_kw,total_samples,satisfied_samples,violated_samples,satisfaction_rate,violation_rate,p90_requirement_met,expected_shortfall_kw,max_shortfall_kw,p90_shortfall_kw,p95_shortfall_kw,p99_shortfall_kw
ALSO-X,32.86816343091371,12000,10993,1007,0.9160833333333334,0.08391666666666667,True,1.7184071120019808,32.86816343091371,0.0,16.681264125224327,32.86816343091371
CVaR,11.59773837362406,12000,11488,512,0.9573333333333334,0.042666666666666665,True,0.39719307710236507,11.59773837362406,0.0,0.0,11.59773837362406
