h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
60.2000009375,42.9292510625,64.356250625,63.424998437499994,42.117500424999996,60.837500000000006,61.196875937499996,63.043749375,42.0133756375,19.394875,13.183499999999999,15.534375,14.496875,15.496875,15.300000424999999,28.283751062500002,93.54062562500002,88.1960002125,137.753124375,125.9031271875,112.693750625,69.1177489375,93.2874965625,85.17812375
60.2000009375,42.9292510625,43.762250425,43.1289989375,42.117500424999996,60.837500000000006,61.196875937499996,63.043749375,42.0133756375,19.394875,13.183499999999999,10.563375,9.857875,10.537875,15.300000424999999,41.5937515625,63.60762542500001,129.7000003125,137.753124375,85.6141264875,112.693750625,101.6437484375,63.4354976625,57.92112415
60.2000009375,42.9292510625,43.762250425,43.1289989375,61.937500625,60.837500000000006,61.196875937499996,63.043749375,42.0133756375,28.521874999999998,13.183499999999999,10.563375,14.496875,10.537875,22.500000625,41.5937515625,93.54062562500002,129.7000003125,137.753124375,85.6141264875,76.63175042499999,69.1177489375,63.4354976625,57.92112415
60.2000009375,42.9292510625,43.762250425,43.1289989375,42.117500424999996,60.837500000000006,61.196875937499996,63.043749375,61.7843759375,19.394875,19.3875,10.563375,9.857875,10.537875,22.500000625,28.283751062500002,63.60762542500001,129.7000003125,93.672124575,125.9031271875,76.63175042499999,69.1177489375,63.4354976625,85.17812375
81.403124375,56.896875,86.2500025,86.9593759375,62.9255006375,105.7999996875,124.5531246875,170.5937528125,107.457,89.21175170000001,83.176749575,125.58125000000001,123.11562531250001,112.346875625,75.278125,75.24624978749999,136.437501875,147.477125425,235.0,181.984379375,136.98124906249998,82.3756239375,120.44062374999999,111.11875062499999
81.403124375,56.896875,58.6500017,59.13237563749999,62.9255006375,105.7999996875,124.5531246875,170.5937528125,107.457,89.21175170000001,83.176749575,85.39525,83.7186252125,76.395875425,75.278125,110.6562496875,92.777501275,216.878125625,235.0,123.74937797499999,136.98124906249998,121.1406234375,81.89962415,75.560750425
81.403124375,56.896875,58.6500017,59.13237563749999,92.5375009375,105.7999996875,124.5531246875,170.5937528125,107.457,131.19375250000002,83.176749575,85.39525,123.11562531250001,76.395875425,110.703125,110.6562496875,136.437501875,216.878125625,235.0,123.74937797499999,93.14724936249999,82.3756239375,81.89962415,75.560750425
81.403124375,56.896875,58.6500017,59.13237563749999,62.9255006375,105.7999996875,124.5531246875,170.5937528125,158.02499999999998,89.21175170000001,122.31874937500001,85.39525,83.7186252125,76.395875425,110.703125,75.24624978749999,92.777501275,216.878125625,159.79999999999998,181.984379375,93.14724936249999,82.3756239375,81.89962415,111.11875062499999
111.3281228125,76.60200085,111.781249375,116.018750625,81.364125,128.984375,160.4312515625,195.4999971875,116.26724978749999,84.59412436250001,66.4423752125,69.9000003125,40.4499996875,44.571875625,54.5168739375,73.750251275,141.36562375,135.7492514875,255.32812593750003,216.71250062500002,164.803125625,98.65737585,129.94687531250003,123.05000312499999
111.3281228125,76.60200085,76.011249575,78.89275042499999,81.364125,128.984375,160.4312515625,195.4999971875,116.26724978749999,84.59412436250001,66.4423752125,47.5320002125,27.5059997875,30.308875424999997,54.5168739375,108.45625187499999,96.12862415000001,199.63125218750002,255.32812593750003,147.364500425,164.803125625,145.08437625,88.3638752125,83.67400212499999
111.3281228125,76.60200085,76.011249575,78.89275042499999,119.65312499999999,128.984375,160.4312515625,195.4999971875,116.26724978749999,124.40312406250001,66.4423752125,47.5320002125,40.4499996875,30.308875424999997,80.17187343750001,108.45625187499999,141.36562375,199.63125218750002,255.32812593750003,147.364500425,112.066125425,98.65737585,88.3638752125,83.67400212499999
111.3281228125,76.60200085,76.011249575,78.89275042499999,81.364125,128.984375,160.4312515625,195.4999971875,170.9812496875,84.59412436250001,97.7093753125,47.5320002125,27.5059997875,30.308875424999997,80.17187343750001,73.750251275,96.12862415000001,199.63125218750002,173.6231256375,216.71250062500002,112.066125425,98.65737585,88.3638752125,123.05000312499999
161.2562490625,108.6491252125,156.65000187500002,155.918750625,108.97424999999998,165.02500062500002,244.7812459375,325.7249975,164.3538752125,128.15237499999998,93.85700170000001,97.871876875,53.115626875,41.2187496875,55.59000085,83.8503743625,172.10312375,207.633747875,388.581256875,308.65624906249997,216.98125343750002,129.3721243625,177.809374375,156.01249687499998
161.2562490625,108.6491252125,106.522001275,106.024750425,108.97424999999998,165.02500062500002,244.7812459375,325.7249975,164.3538752125,128.15237499999998,93.85700170000001,66.55287627499999,36.118626275,28.0287497875,55.59000085,123.30937406250001,117.03012415,305.343746875,388.581256875,209.8862493625,216.98125343750002,190.25312406249998,120.910374575,106.08849787499999
161.2562490625,108.6491252125,106.522001275,106.024750425,160.25624999999997,165.02500062500002,244.7812459375,325.7249975,164.3538752125,188.45937499999997,93.85700170000001,66.55287627499999,53.115626875,28.0287497875,81.75000125,123.30937406250001,172.10312375,305.343746875,388.581256875,209.8862493625,147.5472523375,129.3721243625,120.910374575,106.08849787499999
161.2562490625,108.6491252125,106.522001275,106.024750425,108.97424999999998,165.02500062500002,244.7812459375,325.7249975,241.69687531249997,128.15237499999998,138.02500250000003,66.55287627499999,36.118626275,28.0287497875,81.75000125,83.8503743625,117.03012415,305.343746875,264.23525467499996,308.65624906249997,147.5472523375,129.3721243625,120.910374575,156.01249687499998
145.6125021875,93.44262415,136.578125625,135.98125,94.4052502125,158.671875,192.99374812499997,219.4437459375,118.57074915,82.3905002125,61.2021239375,78.3499990625,76.921875625,77.26250031250001,54.910000212499995,76.1493756375,172.699995,153.3251213875,240.037503125,206.25625125,169.57187375,110.65512563749999,162.68124781250003,149.6281265625
145.6125021875,93.44262415,92.873125425,92.46724999999999,94.4052502125,158.671875,192.99374812499997,219.4437459375,118.57074915,82.3905002125,61.2021239375,53.2779993625,52.306875425,52.5385002125,54.910000212499995,111.9843759375,117.4359966,225.4781196875,240.037503125,140.25425084999998,169.57187375,162.7281259375,110.62324851250001,101.7471260625
145.6125021875,93.44262415,92.873125425,92.46724999999999,138.8312503125,158.671875,192.99374812499997,219.4437459375,118.57074915,121.16250031250001,61.2021239375,53.2779993625,76.921875625,52.5385002125,80.75000031249999,111.9843759375,172.699995,225.4781196875,240.037503125,140.25425084999998,115.30887415,110.65512563749999,110.62324851250001,101.7471260625
145.6125021875,93.44262415,92.873125425,92.46724999999999,94.4052502125,158.671875,192.99374812499997,219.4437459375,174.36874875,82.3905002125,90.0031234375,53.2779993625,52.306875425,52.5385002125,80.75000031249999,76.1493756375,117.4359966,225.4781196875,163.225502125,206.25625125,115.30887415,110.65512563749999,110.62324851250001,149.6281265625
130.15625,90.0999997875,135.65312375,136.9062521875,98.177125425,161.2499975,197.4499990625,221.721878125,117.5826269125,95.13200169999999,82.12062585000001,94.92812656249998,65.92499968749999,62.787499687499995,63.1379989375,90.5207506375,158.896875625,153.8351235125,286.9656228125,237.21874687499997,191.39687531250001,114.06787521249998,159.0625,157.5999996875
130.15625,90.0999997875,92.24412414999999,93.0962514875,98.177125425,161.2499975,197.4499990625,221.721878125,117.5826269125,95.13200169999999,82.12062585000001,64.55112606249999,44.828999787499995,42.6954997875,63.1379989375,133.1187509375,108.049875425,226.22812281249998,286.9656228125,161.308747875,191.39687531250001,167.74687531249998,108.1625,107.1679997875
130.15625,90.0999997875,92.24412414999999,93.0962514875,144.378125625,161.2499975,197.4499990625,221.721878125,117.5826269125,139.9000025,82.12062585000001,64.55112606249999,65.92499968749999,42.6954997875,92.8499984375,133.1187509375,158.896875625,226.22812281249998,286.9656228125,161.308747875,130.1498752125,114.06787521249998,108.1625,107.1679997875
130.15625,90.0999997875,92.24412414999999,93.0962514875,98.177125425,161.2499975,197.4499990625,221.721878125,172.91562781250002,95.13200169999999,120.76562625000001,64.55112606249999,44.828999787499995,42.6954997875,92.8499984375,90.5207506375,108.049875425,226.22812281249998,195.1366235125,237.21874687499997,130.1498752125,114.06787521249998,108.1625,157.5999996875
168.96250250000003,111.08224617500001,157.10000031250001,155.487499375,106.03537436250001,161.41874562499999,170.087499375,161.9468784375,95.9565010625,87.3566226625,67.24349893750001,85.46250125,83.9750025,79.206250625,50.390125,71.80587415,163.47187031250002,133.022872875,226.19062406250004,208.49375250000003,185.34062843750002,117.0152476625,167.8156278125,163.37812656250003
168.96250250000003,111.08224617500001,106.8280002125,105.731499575,106.03537436250001,161.41874562499999,170.087499375,161.9468784375,95.9565010625,87.3566226625,67.24349893750001,58.11450085,57.1030017,53.860250425,50.390125,105.59687374999999,111.1608718125,195.621871875,226.19062406250004,141.7757517,185.34062843750002,172.08124656249998,114.11462691249999,111.09712606250001
168.96250250000003,111.08224617500001,106.8280002125,105.731499575,155.9343740625,161.41874562499999,170.087499375,161.9468784375,95.9565010625,128.4656215625,67.24349893750001,58.11450085,83.9750025,53.860250425,74.103125,105.59687374999999,163.47187031250002,195.621871875,226.19062406250004,141.7757517,126.0316273375,117.0152476625,114.11462691249999,111.09712606250001
168.96250250000003,111.08224617500001,106.8280002125,105.731499575,106.03537436250001,161.41874562499999,170.087499375,161.9468784375,141.1125015625,87.3566226625,98.8874984375,58.11450085,57.1030017,53.860250425,74.103125,71.80587415,111.1608718125,195.621871875,153.80962436250002,208.49375250000003,126.0316273375,117.0152476625,114.11462691249999,163.37812656250003
167.05625062500002,112.85237351249998,164.0249990625,162.6593759375,109.96449596249998,162.0781278125,163.8937525,146.2374996875,92.2483767,77.077998725,53.339625212499996,33.534375,32.318749374999996,33.934375,26.3096247875,59.519124999999995,147.8250028125,124.3656230875,200.3249978125,192.56249874999997,173.4843753125,108.29424723749999,151.3312503125,141.9125009375
167.05625062500002,112.85237351249998,111.5369993625,110.60837563749999,109.96449596249998,162.0781278125,163.8937525,146.2374996875,92.2483767,77.077998725,53.339625212499996,22.803375,21.976749575,23.075375,26.3096247875,87.52812499999999,100.5210019125,182.8906221875,200.3249978125,130.94249914999997,173.4843753125,159.25624593749998,102.9052502125,96.5005006375
167.05625062500002,112.85237351249998,111.5369993625,110.60837563749999,161.71249406249999,162.0781278125,163.8937525,146.2374996875,92.2483767,113.349998125,53.339625212499996,22.803375,32.318749374999996,23.075375,38.690624687500005,87.52812499999999,147.8250028125,182.8906221875,200.3249978125,130.94249914999997,117.9693752125,108.29424723749999,102.9052502125,96.5005006375
167.05625062500002,112.85237351249998,111.5369993625,110.60837563749999,109.96449596249998,162.0781278125,163.8937525,146.2374996875,135.6593775,77.077998725,78.4406253125,22.803375,21.976749575,23.075375,38.690624687500005,59.519124999999995,100.5210019125,182.8906221875,136.2209985125,192.56249874999997,117.9693752125,108.29424723749999,102.9052502125,141.9125009375
142.559373125,92.84762330000001,136.3499996875,138.0500009375,98.89750042499999,171.19687562499996,204.86875062500002,239.4406275,138.169626275,107.99250085,85.93924957499999,102.10312625,87.11562406249999,86.1562465625,69.1645006375,96.0393743625,179.2968753125,158.964875,307.6437475,277.971878125,226.03124624999998,129.27437308749998,179.00312906250002,165.79062906250002
142.559373125,92.84762330000001,92.71799978749999,93.87400063749999,98.89750042499999,171.19687562499996,204.86875062500002,239.4406275,138.169626275,107.99250085,85.93924957499999,69.43012585,59.2386243625,58.5862476625,69.1645006375,141.2343740625,121.9218752125,233.77187500000002,307.6437475,189.020877125,226.03124624999998,190.10937218749999,121.72212776250001,112.73762776250001
142.559373125,92.84762330000001,92.71799978749999,93.87400063749999,145.43750062499998,171.19687562499996,204.86875062500002,239.4406275,138.169626275,158.81250125000003,85.93924957499999,69.43012585,87.11562406249999,58.5862476625,101.71250093750001,141.2343740625,179.2968753125,233.77187500000002,307.6437475,189.020877125,153.70124744999998,129.27437308749998,121.72212776250001,112.73762776250001
142.559373125,92.84762330000001,92.71799978749999,93.87400063749999,98.89750042499999,171.19687562499996,204.86875062500002,239.4406275,203.19062687500002,107.99250085,126.38124937499998,69.43012585,59.2386243625,58.5862476625,101.71250093750001,96.0393743625,121.9218752125,233.77187500000002,209.1977483,277.971878125,153.70124744999998,129.27437308749998,121.72212776250001,165.79062906250002
173.14687718750002,110.822996175,159.434375625,158.54687437500002,109.15912393749998,173.2062528125,209.98124625,226.55624875,147.23275,119.38887542500001,100.453000425,129.662499375,114.2218753125,121.212499375,91.039251275,103.209125425,180.41249718750004,152.094747875,272.6687478125,251.2875034375,196.8406246875,114.89237308749999,154.0000009375,122.64374968749999
173.14687718750002,110.822996175,108.415375425,107.811874575,109.15912393749998,173.2062528125,209.98124625,226.55624875,147.23275,119.38887542500001,100.453000425,88.17049957500001,77.6708752125,82.424499575,91.039251275,151.778125625,122.68049808750001,223.668746875,272.6687478125,170.8755023375,196.8406246875,168.95937218749998,104.7200006375,83.39774978749999
173.14687718750002,110.822996175,108.415375425,107.811874575,160.52812343749997,173.2062528125,209.98124625,226.55624875,147.23275,175.57187562500002,100.453000425,88.17049957500001,114.2218753125,82.424499575,133.881251875,151.778125625,180.41249718750004,223.668746875,272.6687478125,170.8755023375,133.8516247875,114.89237308749999,104.7200006375,83.39774978749999
173.14687718750002,110.822996175,108.415375425,107.811874575,109.15912393749998,173.2062528125,209.98124625,226.55624875,216.51875,119.38887542500001,147.725000625,88.17049957500001,77.6708752125,82.424499575,133.881251875,103.209125425,122.68049808750001,223.668746875,185.41474851249998,251.2875034375,133.8516247875,114.89237308749999,104.7200006375,122.64374968749999
