combined_scenario,wind_scenario,price_scenario,imbalance_scenario,hour,wind_mw,day_ahead_price_eur_per_mwh,system_imbalance,balancing_price_eur_per_mwh,probability
0,0,0,0,0,281.686628322303,48.16000075,1,60.2000009375,0.000625
0,0,0,0,1,278.2135076643475,50.50500125,0,42.9292510625,0.000625
0,0,0,0,2,310.032085751555,51.4850005,1,64.356250625,0.000625
0,0,0,0,3,282.952420155072,50.73999875,1,63.424998437499994,0.000625
0,0,0,0,4,331.4812886652175,49.550000499999996,0,42.117500424999996,0.000625
0,0,0,0,5,336.023878535563,48.67,1,60.837500000000006,0.000625
0,0,0,0,6,341.7778578450245,48.957500749999994,1,61.196875937499996,0.000625
0,0,0,0,7,345.3407240377235,50.434999499999996,1,63.043749375,0.000625
0,0,0,0,8,353.09770497333596,49.42750075,0,42.0133756375,0.000625
0,0,0,0,9,327.970430008938,22.8175,0,19.394875,0.000625
0,0,0,0,10,342.005770113675,15.51,0,13.183499999999999,0.000625
0,0,0,0,11,350.9542545815975,12.4275,1,15.534375,0.000625
0,0,0,0,12,353.711719469256,11.5975,1,14.496875,0.000625
0,0,0,0,13,352.566802429096,12.397499999999999,1,15.496875,0.000625
0,0,0,0,14,372.39821781301305,18.0000005,0,15.300000424999999,0.000625
0,0,0,0,15,381.5275429033165,33.27500125,0,28.283751062500002,0.000625
0,0,0,0,16,363.77451186320195,74.83250050000001,1,93.54062562500002,0.000625
0,0,0,0,17,347.9316625169085,103.76000025,0,88.1960002125,0.000625
0,0,0,0,18,362.3763977327535,110.2024995,1,137.753124375,0.000625
0,0,0,0,19,385.8736343914805,100.72250175,1,125.9031271875,0.000625
0,0,0,0,20,412.178315643747,90.1550005,1,112.693750625,0.000625
0,0,0,0,21,391.442716364354,81.31499875,0,69.1177489375,0.000625
0,0,0,0,22,407.54045922878953,74.62999725,1,93.2874965625,0.000625
0,0,0,0,23,375.988472998675,68.142499,1,85.17812375,0.000625
1,0,0,1,0,281.686628322303,48.16000075,1,60.2000009375,0.000625
1,0,0,1,1,278.2135076643475,50.50500125,0,42.9292510625,0.000625
1,0,0,1,2,310.032085751555,51.4850005,0,43.762250425,0.000625
